time_of_day_exact,extra_minutes,CBD
0,1.27020400026564,CBD commute (14.2%)
0.12565445026178,1.26636366610914,CBD commute (14.2%)
0.25130890052356,1.26113164885808,CBD commute (14.2%)
0.37696335078534,1.25484524721571,CBD commute (14.2%)
0.50261780104712,1.24784175988528,CBD commute (14.2%)
0.628272251308901,1.24045848557005,CBD commute (14.2%)
0.753926701570681,1.23303272297327,CBD commute (14.2%)
0.879581151832461,1.22590177079819,CBD commute (14.2%)
1.00523560209424,1.21940292774807,CBD commute (14.2%)
1.13089005235602,1.21387349252614,CBD commute (14.2%)
1.2565445026178,1.20965076383567,CBD commute (14.2%)
1.38219895287958,1.2070720403799,CBD commute (14.2%)
1.50785340314136,1.2064746208621,CBD commute (14.2%)
1.63350785340314,1.2081958039855,CBD commute (14.2%)
1.75916230366492,1.21183988611577,CBD commute (14.2%)
1.8848167539267,1.21431445276282,CBD commute (14.2%)
2.01047120418848,1.21554615271427,CBD commute (14.2%)
2.13612565445026,1.21590175574708,CBD commute (14.2%)
2.26178010471204,1.21574803163822,CBD commute (14.2%)
2.38743455497382,1.21545175016463,CBD commute (14.2%)
2.5130890052356,1.21537968110329,CBD commute (14.2%)
2.63874345549738,1.21589859423116,CBD commute (14.2%)
2.76439790575916,1.21737525932519,CBD commute (14.2%)
2.89005235602094,1.22017644616235,CBD commute (14.2%)
3.01570680628272,1.22466892451959,CBD commute (14.2%)
3.1413612565445,1.23121946417388,CBD commute (14.2%)
3.26701570680628,1.24019483490218,CBD commute (14.2%)
3.39267015706806,1.25196180648145,CBD commute (14.2%)
3.51832460732984,1.26688714868865,CBD commute (14.2%)
3.64397905759162,1.28513768318033,CBD commute (14.2%)
3.7696335078534,1.28285036457905,CBD commute (14.2%)
3.89528795811518,1.24836727267961,CBD commute (14.2%)
4.02094240837696,1.18876736172936,CBD commute (14.2%)
4.14659685863874,1.11112958597568,CBD commute (14.2%)
4.27225130890052,1.02253289966591,CBD commute (14.2%)
4.3979057591623,0.930056257047422,CBD commute (14.2%)
4.52356020942408,0.840778612367573,CBD commute (14.2%)
4.64921465968586,0.761778919873723,CBD commute (14.2%)
4.77486910994764,0.700136133813233,CBD commute (14.2%)
4.90052356020942,0.662929208433461,CBD commute (14.2%)
5.0261780104712,0.657237097981769,CBD commute (14.2%)
5.15183246073298,0.690138756705516,CBD commute (14.2%)
5.27748691099476,0.768713138852063,CBD commute (14.2%)
5.40314136125654,0.90003919866877,CBD commute (14.2%)
5.52879581151832,1.09119589040299,CBD commute (14.2%)
5.6544502617801,1.32441288066314,CBD commute (14.2%)
5.78010471204189,1.58998859081989,CBD commute (14.2%)
5.90575916230366,1.86348723217951,CBD commute (14.2%)
6.03141361256544,2.1401948265905,CBD commute (14.2%)
6.15706806282723,2.42527888518939,CBD commute (14.2%)
6.28272251308901,2.70071137266113,CBD commute (14.2%)
6.40837696335079,2.97254659747552,CBD commute (14.2%)
6.53403141361257,3.25804483448948,CBD commute (14.2%)
6.65968586387435,3.57306087120218,CBD commute (14.2%)
6.78534031413613,3.90613970345112,CBD commute (14.2%)
6.91099476439791,4.2626002652268,CBD commute (14.2%)
7.03664921465969,4.65596156228223,CBD commute (14.2%)
7.16230366492147,5.09456442621158,CBD commute (14.2%)
7.28795811518325,5.53241204615943,CBD commute (14.2%)
7.41361256544503,6.06672714106118,CBD commute (14.2%)
7.53926701570681,6.64020645741408,CBD commute (14.2%)
7.66492146596859,7.25857769531425,CBD commute (14.2%)
7.79057591623037,7.88636022375004,CBD commute (14.2%)
7.91623036649215,8.52120343023304,CBD commute (14.2%)
8.04188481675393,9.03330113817027,CBD commute (14.2%)
8.16753926701571,9.45479805845642,CBD commute (14.2%)
8.29319371727749,9.78105572695494,CBD commute (14.2%)
8.41884816753927,9.99216785079855,CBD commute (14.2%)
8.54450261780105,10.0526723367568,CBD commute (14.2%)
8.67015706806283,9.91252715658219,CBD commute (14.2%)
8.79581151832461,9.53052758143107,CBD commute (14.2%)
8.92146596858639,9.18403707178832,CBD commute (14.2%)
9.04712041884817,8.69388811301014,CBD commute (14.2%)
9.17277486910995,8.14871955508106,CBD commute (14.2%)
9.29842931937173,7.59500020698684,CBD commute (14.2%)
9.42408376963351,7.13337324742461,CBD commute (14.2%)
9.54973821989529,6.76703159751468,CBD commute (14.2%)
9.67539267015707,6.41632575077041,CBD commute (14.2%)
9.80104712041885,6.10199927349805,CBD commute (14.2%)
9.92670157068063,5.85013899004643,CBD commute (14.2%)
10.0523560209424,5.64676338416134,CBD commute (14.2%)
10.1780104712042,5.47509771652379,CBD commute (14.2%)
10.303664921466,5.34877889228732,CBD commute (14.2%)
10.4293193717277,5.26354751720365,CBD commute (14.2%)
10.5549738219895,5.19828725223458,CBD commute (14.2%)
10.6806282722513,5.13555445829971,CBD commute (14.2%)
10.8062827225131,5.08722467450553,CBD commute (14.2%)
10.9319371727749,5.0550696871365,CBD commute (14.2%)
11.0575916230366,5.03654942347434,CBD commute (14.2%)
11.1832460732984,5.02527952589015,CBD commute (14.2%)
11.3089005235602,5.02450539802199,CBD commute (14.2%)
11.434554973822,5.02765950993536,CBD commute (14.2%)
11.5602094240838,5.03653872413361,CBD commute (14.2%)
11.6858638743455,5.05250915314659,CBD commute (14.2%)
11.8115183246073,5.0644886214206,CBD commute (14.2%)
11.9371727748691,5.07036050523713,CBD commute (14.2%)
12.0628272251309,5.07412771593902,CBD commute (14.2%)
12.1884816753927,5.08037906806827,CBD commute (14.2%)
12.3141361256545,5.08154791927157,CBD commute (14.2%)
12.4397905759162,5.06717002019533,CBD commute (14.2%)
12.565445026178,5.04237855755277,CBD commute (14.2%)
12.6910994764398,5.01099658850668,CBD commute (14.2%)
12.8167539267016,4.98141642048967,CBD commute (14.2%)
12.9424083769634,4.95305064312153,CBD commute (14.2%)
13.0680628272251,4.91938874097042,CBD commute (14.2%)
13.1937172774869,4.87584316978353,CBD commute (14.2%)
13.3193717277487,4.83031438002523,CBD commute (14.2%)
13.4450261780105,4.78863394823145,CBD commute (14.2%)
13.5706806282723,4.75561866983827,CBD commute (14.2%)
13.696335078534,4.72368845612863,CBD commute (14.2%)
13.8219895287958,4.71938775741103,CBD commute (14.2%)
13.9476439790576,4.73492982298693,CBD commute (14.2%)
14.0732984293194,4.76928156848118,CBD commute (14.2%)
14.1989528795812,4.82069823710426,CBD commute (14.2%)
14.3246073298429,4.87558552081104,CBD commute (14.2%)
14.4502617801047,4.94095149137477,CBD commute (14.2%)
14.5759162303665,5.02891066606344,CBD commute (14.2%)
14.7015706806283,5.14119558882806,CBD commute (14.2%)
