City,time_of_day_exact,increase_in_travel_time
Sydney,0.0433333333333333,0.0387314656486392
Sydney,0.295324561403509,0.0420434535097824
Sydney,0.547315789473684,0.0449065979442221
Sydney,0.79930701754386,0.0476347522479385
Sydney,1.05129824561404,0.0505417697169117
Sydney,1.30328947368421,0.0539415036471219
Sydney,1.55528070175439,0.0581478073345492
Sydney,1.80727192982456,0.0630783785726213
Sydney,2.05926315789474,0.0677153677727992
Sydney,2.31125438596491,0.0721948821388278
Sydney,2.56324561403509,0.076752179375447
Sydney,2.81523684210526,0.0816225171873971
Sydney,3.06722807017544,0.0870411532794181
Sydney,3.31921929824561,0.0932433453562503
Sydney,3.57121052631579,0.100464351122634
Sydney,3.82320175438597,0.107068010671589
Sydney,4.07519298245614,0.111546040259357
Sydney,4.32718421052632,0.115306060335594
Sydney,4.57917543859649,0.119768521639315
Sydney,4.83116666666667,0.126353874909536
Sydney,5.08315789473684,0.136482570885274
Sydney,5.33514912280702,0.151575060305544
Sydney,5.58714035087719,0.173029813477255
Sydney,5.83913157894737,0.197263059082108
Sydney,6.09112280701754,0.2223473024004
Sydney,6.34311403508772,0.24788393661849
Sydney,6.59510526315789,0.275642440303312
Sydney,6.84709649122807,0.307079200253936
Sydney,7.09908771929825,0.344714486908805
Sydney,7.35107894736842,0.3867028350468
Sydney,7.6030701754386,0.427022710969578
Sydney,7.85506140350877,0.454079027780618
Sydney,8.10705263157895,0.462672253389718
Sydney,8.35904385964912,0.448307745231716
Sydney,8.6110350877193,0.420038894167622
Sydney,8.86302631578947,0.382848122331217
Sydney,9.11501754385965,0.342972740519451
Sydney,9.36700877192982,0.306751130975055
Sydney,9.619,0.281866970181267
Sydney,9.87099122807017,0.261316419077282
Sydney,10.1229824561404,0.247257820724626
Sydney,10.3749736842105,0.239151364594153
Sydney,10.6269649122807,0.234651559178242
Sydney,10.8789561403509,0.23142405702288
Sydney,11.1309473684211,0.229970808517135
Sydney,11.3829385964912,0.229361504641425
Sydney,11.6349298245614,0.229640209273373
Sydney,11.8869210526316,0.230379200761147
Sydney,12.1389122807018,0.23125420171121
Sydney,12.3909035087719,0.232411072389471
Sydney,12.6428947368421,0.233697537189688
Sydney,12.8948859649123,0.235410322677864
Sydney,13.1468771929825,0.237592397908386
Sydney,13.3988684210526,0.240113409463788
Sydney,13.6508596491228,0.243867767612097
Sydney,13.902850877193,0.250234618993617
Sydney,14.1548421052632,0.260495283173517
Sydney,14.4068333333333,0.27275642191796
Sydney,14.6588245614035,0.289946982595405
Sydney,14.9108157894737,0.309989140563508
Sydney,15.1628070175439,0.332225020469124
Sydney,15.414798245614,0.360246800971904
Sydney,15.6667894736842,0.389397267325196
Sydney,15.9187807017544,0.413714261023698
Sydney,16.1707719298246,0.436294608851228
Sydney,16.4227631578947,0.459394821415213
Sydney,16.6747543859649,0.480912481590202
Sydney,16.9267456140351,0.496344831099022
Sydney,17.1787368421053,0.5041993003045
Sydney,17.4307280701754,0.495402352733813
Sydney,17.6827192982456,0.471779834810313
Sydney,17.9347105263158,0.426028551000948
Sydney,18.186701754386,0.374095624007506
Sydney,18.4386929824561,0.32023312856006
Sydney,18.6906842105263,0.268305601189107
Sydney,18.9426754385965,0.222498532492863
Sydney,19.1946666666667,0.183767415333167
Sydney,19.4466578947368,0.156820914530123
Sydney,19.698649122807,0.131069479293187
Sydney,19.9506403508772,0.121819605976558
Sydney,20.2026315789474,0.11247724351449
Sydney,20.4546228070175,0.104182991840618
Sydney,20.7066140350877,0.0989933261627756
Sydney,20.9586052631579,0.095657672399311
Sydney,21.2105964912281,0.0930416483009551
Sydney,21.4625877192982,0.0909353487275555
Sydney,21.7145789473684,0.0892416127639091
Sydney,21.9665701754386,0.0878158365760937
Sydney,22.2185614035088,0.0864385337768472
Sydney,22.4705526315789,0.0849765027636335
Sydney,22.7225438596491,0.0834259662033751
Sydney,22.9745350877193,0.081872423204026
Sydney,23.2265263157895,0.0803747206736793
Sydney,23.4785175438597,0.0788601322780576
Sydney,23.7305087719298,0.0773429804235178
Sydney,23.9825,0.0757932316802012
Melbourne,0.095,0.0826772898582237
Melbourne,0.346052631578947,0.0820232680794675
Melbourne,0.597105263157895,0.0812704644360758
Melbourne,0.848157894736842,0.0804913865126327
Melbourne,1.09921052631579,0.0797585418937218
Melbourne,1.35026315789474,0.0791444381639271
Melbourne,1.60131578947368,0.0787215829078324
Melbourne,1.85236842105263,0.0783960623726203
Melbourne,2.10342105263158,0.0779760759818472
Melbourne,2.35447368421053,0.0775206425388601
Melbourne,2.60552631578947,0.0770917110228937
Melbourne,2.85657894736842,0.0767512304131821
Melbourne,3.10763157894737,0.07656114968896
Melbourne,3.35868421052632,0.0765834178294616
Melbourne,3.60973684210526,0.0767825346305053
Melbourne,3.86078947368421,0.0728725680918006
Melbourne,4.11184210526316,0.0644405494525853
Melbourne,4.3628947368421,0.0541347573961633
Melbourne,4.61394736842105,0.0446034706058387
Melbourne,4.865,0.0384949677649156
Melbourne,5.11605263157895,0.0384575275566981
Melbourne,5.36710526315789,0.0471394286644901
Melbourne,5.61815789473684,0.0664547422299498
Melbourne,5.86921052631579,0.0898436250993806
Melbourne,6.12026315789474,0.113824186811023
Melbourne,6.37131578947368,0.137179043709173
Melbourne,6.62236842105263,0.162469264556417
Melbourne,6.87342105263158,0.190339399358125
Melbourne,7.12447368421053,0.21950977436995
Melbourne,7.37552631578947,0.249837745323923
Melbourne,7.62657894736842,0.280758579784115
Melbourne,7.87763157894737,0.2970757420936
Melbourne,8.12868421052632,0.301216869301577
