O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,avg_extra_mins,distance_group
Cromer,Beacon Hill - Narraweena,33,0.00357142857142857,2.5249375,0.0166666666666667,-33.7365509778261,151.272490206957,16.0900705036572,-33.7511931169697,151.265749043333,14.3472849066535,0.43146448008153,24.7210937184781,15.2186777051553,-33.7438720473979,151.269119625145,151.266070051125,-33.7504958722486,1753,5.0499429549344,"(-Inf,5]"
Dural - Kenthurst - Wisemans Ferry,Galston - Laughtondale,136,0.00154320987654321,8.63,0.0166666666666667,-33.6297421313793,150.997822923966,32.9739052331845,-33.62882919,151.058955643529,30.1137680622179,-1.58572897706306,-90.8555778373104,31.5438366477012,-33.6292856606896,151.028389283748,151.056044561645,-33.628872663399,3374,8.33039172100375,"(5,10]"
Kurrajong Heights - Ebenezer,Bilpin - Colo - St Albans,33,0.00201748486886348,28.551,0.05,-33.5414591342857,150.738293808571,56.6692199945202,-33.39601002875,150.7566305075,67.1933741735122,-3.01618473212063,-172.814655382309,61.9312970840162,-33.4687345815179,150.747462158036,150.755757331361,-33.4029361766327,5473,4.14155551495219,"(20, Inf]"
Padstow,Illawong - Alfords Point,11,0.00657894736842105,6.10073333333333,0.05,-33.9580492376191,151.031981248095,18.8053895340924,-33.9953070765625,151.03323688,21.160318832706,-0.0336883967433116,-1.93020295195402,19.9828541833992,-33.9766781570908,151.032609064048,151.033177088005,-33.9935328937557,2709,9.73458225667528,"(5,10]"
Woollahra,Double Bay - Bellevue Hill,86,0.0127388535031847,2.1060625,0.0666666666666667,-33.8871218123529,151.243578218824,3.91703058225421,-33.8782889714035,151.249404786491,4.08019130337237,-2.55846473789572,-146.589231514469,3.99861094281329,-33.8827053918782,151.246491502658,151.249127330888,-33.8787095828773,954,3.59201607267645,"(-Inf,5]"
The Oaks - Oakdale,Warragamba - Silverdale,25,0.00418410041841004,20.422,0.0666666666666667,-34.05819709,150.569110260833,62.3602725539404,-33.9023502985714,150.608793765,55.2642850959563,-2.89225969291472,-165.714273659817,58.8122788249483,-33.9802736942857,150.588952012917,150.606904074325,-33.9097715743537,1779,3.51268034476298,"(20, Inf]"
Bayview - Elanora Heights,Warriewood - Mona Vale,533,0.0129198966408269,2.8714375,0.0833333333333333,-33.67384175,151.28273469913,22.9685432097263,-33.68611168375,151.298807692292,22.2032961925532,-0.918781670862735,-52.6423120344126,22.5859197011397,-33.679976716875,151.290771195711,151.298042311665,-33.6855274011905,2189,6.59246611847114,"(-Inf,5]"
Double Bay - Bellevue Hill,Woollahra,110,0.015015015015015,2.1169375,0.0833333333333333,-33.8782889714035,151.249404786491,4.08019130337237,-33.8871218123529,151.243578218824,3.91703058225421,0.583127915694077,33.4107684855311,3.99861094281329,-33.8827053918782,151.246491502658,151.243855674427,-33.8867012008791,3779,5.04753462115198,"(-Inf,5]"
Bilpin - Colo - St Albans,Kurrajong Heights - Ebenezer,50,0.00383275261324042,28.551,0.0916666666666667,-33.39601002875,150.7566305075,67.1933741735122,-33.5414591342857,150.738293808571,56.6692199945202,0.125407921469165,7.1853446176912,61.9312970840162,-33.4687345815179,150.747462158036,150.73916698471,-33.5345329864031,313,3.32790202342918,"(20, Inf]"
Cromer,Narrabeen - Collaroy,106,0.0153452685421995,3.0715,0.1,-33.7365509778261,151.272490206957,16.0900705036572,-33.72820196125,151.294466054821,17.7866912300393,-1.93387153865895,-110.802677285628,16.9383808668482,-33.7323764695381,151.283478130889,151.293419585875,-33.7285995334679,1753,5.0499429549344,"(-Inf,5]"
